UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
KEEP STREAMING CROWN SPOTIFY+COLLECT VOTE❆♡,@moapedia,2021-05-04T08:00:04.000Z,Awal jadi moa aku gak mau berpaling dari Yeonjun eh sekarang malah jadi bucin banget sama nih anak satu,🐺 😫,,,
bas,@baiwincp,2021-05-04T14:10:36.000Z,makin hari makin bucin,,,,2
apina,@iicecups,2021-05-04T09:37:09.000Z,"gue selalu ngatain temen-temen gue bucin, tapi gue juga ngebucin. bedanya mereka diakuin GUE ENGGAK. BANGKEEE #pain",,,,
BabyMochi,@BucinYoonmin_,2021-05-04T10:27:39.000Z,MIN YOONGI ,✨ 😭 😭 😭 😭 😭,,,
es.kopi.hangat,@comehom3,2021-05-04T07:43:00.000Z,aaa ga bisa bgt  liat scofield bucin sm sara ,🙈 ❣ ✨ 😽 💜 😩 🍒 💘 ⛄ 🖤,,,
Beautiful Night | bucin bucin yesung,@piowoon,2021-05-04T07:29:06.000Z,"Mereka berdua kiyowo sekali 
#예성 #yesung #BeautifulNight",🌻 😚 😍 😗,,,4
lagi bucin lee jeno,@duhjenoo,2021-05-04T15:42:32.000Z,TATAP TATAPAN LUCU BGT ADJAKAHKAJSKAAJHA MANA SENYUM NANA,,,,
"Lan
Lg bucin yoongi.",@Parkwulanssi,2021-05-04T13:00:26.000Z,"For the first time
 segini aja aku kaget loh kok tetiba rame eh ternyata lagi ngeteh",🐥 🤣 🤣,,,
Masih bucin Ceye,@Le_Ohh_GudBoy,2021-05-04T16:14:31.000Z,"mohon maaf, itu pot bunganya ngambil dari lab mane nih, Min???",,,,
tari⁷,@yungiverse_,2021-05-04T11:33:08.000Z,cakep bgt sihh kan ak makin bucin:(,🐱 🧈,,,
BCFESS: ON — OPEN DM,@BLACKCLOVERFESS,2021-05-04T17:00:00.000Z,"*bcbl *bcmimpi Yami x Nacht

tiba-tiba kepikiran ini dua bakal lucu kalo bucin, jadi gini deh...",,18,20,43
ca,@rojubabe,2021-05-04T07:35:14.000Z,"bucin bgt sama giddy up era juyeon:(Dari 
Take A Shot",,,,1
Aldebaran Bucin Alfahri,@alfahri_bucin,2021-05-04T13:35:42.000Z,Tapi kalo dillihat lihat elsa sama ricky cocok ege. Kek ricky tu beda ama kuyang wkwk #IkatanCintaEp261,,,,3
"Vantae
|| NSFR",@cloudygrayy,2021-05-04T13:00:37.000Z,Karena bucin,♨,,,2
HAECHAANATION,@lustree0,2021-05-04T16:09:36.000Z,gwe yang sedang bucin makin bucin sj ini ,😖,,,
Adina sibuk uts 1 hari lagi,@BucinNFlying,2021-05-04T12:09:20.000Z,Hun : aduh biyuuuung,,,,1
bucin nya 11540,@kifadz,2021-05-04T21:23:42.000Z,Panjang umur buat gue yang selalu meluangkan waktu untuk ngajak ngumpul,,,,
bella,@berrygurl_,2021-05-04T15:03:55.000Z,sudahii galaumu mari bucin oppa oppa bersamaku,,,,
Khar,@Didincocolatte,2021-05-04T10:45:48.000Z,"Gue kl udah bucin sm orang ya gini, dijadiin ava smua ",🦁 😀 😀,,,
